timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
928785774,0.000995304,-0.00338839,0.00215687,0.838511,0.00433009,0.0350241,-0.543741,0.870776,-0.0397471,-0.0356996,-0.488769,1
928817660,-0.000262451,-0.00368418,0.00396817,0.838545,0.00431352,0.0349851,-0.543691,0.870776,-0.0397471,-0.0356996,-0.488769,1
928849777,0.000452437,0.0028955,-0.00214109,0.83855,0.00429943,0.0350139,-0.543681,0.870776,-0.0397471,-0.0356996,-0.488769,1
928881784,0.00198833,-0.000966587,-0.00478615,0.838508,0.00433131,0.035009,-0.543746,0.870776,-0.0397471,-0.0356996,-0.488769,1
928914624,-0.001906,-0.00732744,-0.000670122,0.838475,0.00430399,0.0349624,-0.5438,0.870776,-0.0397471,-0.0356996,-0.488769,1
928942556,0.00187841,-0.0036563,0.00508472,0.838493,0.00429951,0.0349205,-0.543775,0.870776,-0.0397471,-0.0356996,-0.488769,1
928974584,-0.000638649,-0.00209875,0.00240896,0.838531,0.00427042,0.0349072,-0.543717,0.870776,-0.0397471,-0.0356996,-0.488769,1
929006556,-0.000487659,-0.00143647,-0.00297561,0.838523,0.00425388,0.0348933,-0.543731,0.870776,-0.0397471,-0.0356996,-0.488769,1
929038530,-0.00251878,9.71223e-05,-0.00609899,0.838471,0.00425792,0.034886,-0.543812,0.870776,-0.0397471,-0.0356996,-0.488769,1
929070560,0.000398406,-0.00536929,1.20659e-05,0.838442,0.00424282,0.0348634,-0.543858,0.870776,-0.0397471,-0.0356996,-0.488769,1
929102597,-0.00125477,-0.00525899,0.00548008,0.838466,0.00422715,0.0348367,-0.543823,0.870776,-0.0397471,-0.0356996,-0.488769,1
929134512,-0.0037508,-0.00600819,0.00454949,0.838509,0.00419553,0.0348222,-0.543758,0.870776,-0.0397471,-0.0356996,-0.488769,1
929166583,-0.00475537,-0.00400388,-0.00498158,0.838497,0.004178,0.034805,-0.543778,0.870776,-0.0397471,-0.0356996,-0.488769,1
929194671,-0.002854,-0.00415977,-0.00572697,0.838452,0.00417424,0.0347994,-0.543848,0.870776,-0.0397471,-0.0356996,-0.488769,1
929226647,-0.000665051,-0.00323445,-0.0022576,0.838412,0.00416209,0.0347892,-0.543909,0.870776,-0.0397471,-0.0356996,-0.488769,1
929259351,-0.00436352,-0.00415351,0.00565964,0.838434,0.0041408,0.0347616,-0.543878,0.870776,-0.0397471,-0.0356996,-0.488769,1
929291308,0.00545945,-0.00412452,0.00301955,0.838474,0.00414217,0.0347347,-0.543818,0.870776,-0.0397471,-0.0356996,-0.488769,1
